0000500, 1186088
0000500, 1507897
0000500, 1299515
0000500, 1186610
0000500, 1416511
0001000, 2383251
0001000, 2345563
0001000, 5412046
0001000, 2548121
0001000, 2759184
0001500, 3523349
0001500, 7010724
0001500, 3537530
0001500, 3705466
0001500, 4525876
0002000, 4881346
0002000, 4988292
0002000, 6170617
0002000, 5126161
0002000, 4773463
0002500, 6251143
0002500, 6124703
0002500, 6341810
0002500, 6423958
0002500, 7469978
0005000, 16150545
0005000, 13218262
0005000, 14210872
0005000, 16427917
0005000, 15470535
0010000, 26189595
0010000, 35025337
0010000, 29348850
0010000, 26069752
0010000, 27156952
0020000, 53653260
0020000, 54950872
0020000, 62903182
0020000, 57211897
0020000, 55358347
0050000, 132331882
0050000, 137899042
0050000, 134728177
0050000, 133046197
0050000, 141386542
0100000, 265049737
0100000, 263330280
0100000, 265455802
0100000, 264166732
0100000, 263615467
0200000, 537315247
0200000, 537821227
0200000, 532535820
0200000, 528389752
0200000, 532367797
0500000, 1334191177
0500000, 1334619600
0500000, 1335230250
0500000, 1335074542
0500000, 1341445102
1000000, 2682556912
1000000, 2659579687
1000000, 2659874587
1000000, 2658354727
1000000, 2650396087
