0000500, 1818902
0000500, 1456547
0000500, 1463658
0000500, 1491432
0000500, 1451844
0001000, 3533222
0001000, 2994798
0001000, 5422200
0001000, 2992595
0001000, 4250222
0001500, 4655607
0001500, 4683423
0001500, 4952257
0001500, 4929542
0001500, 4645124
0002000, 6310499
0002000, 6810220
0002000, 10551855
0002000, 6285537
0002000, 6296416
0002500, 7963334
0002500, 8196982
0002500, 7932165
0002500, 8171282
0002500, 7918890
0005000, 16427835
0005000, 16099808
0005000, 18830865
0005000, 18440340
0005000, 16256852
0010000, 34433632
0010000, 31521584
0010000, 31497607
0010000, 34544895
0010000, 33898687
0020000, 67147845
0020000, 66516060
0020000, 65200575
0020000, 66149782
0020000, 67074495
0050000, 171209407
0050000, 159231652
0050000, 170619780
0050000, 161373952
0050000, 160806615
0100000, 329909265
0100000, 332898277
0100000, 322539968
0100000, 335081347
0100000, 342944745
0200000, 694641907
0200000, 682739010
0200000, 677267437
0200000, 681761873
0200000, 677434635
0500000, 1638870577
0500000, 1634025915
0500000, 1637840025
0500000, 1619840993
0500000, 1622136398
1000000, 3217928265
1000000, 3230965627
1000000, 3234608213
1000000, 3247375275
1000000, 3238480350
